idade,genero,etnia,pcd,vive_no_brasil,estado_moradia,nivel_ensino,formacao,tempo_experiencia_dados,linguagens_preferidas,bancos_de_dados,cloud_preferida,cargo
31,Masculino,Branca,Não,TRUE,Paraná (PR),Pós-graduação,Economia/ Administração / Contabilidade / Finanças/ Negócios,de 1 a 2 anos,Python,SQL SERVER,Não sei opinar,Analista de Negócios/Business Analyst
30,Feminino,Parda,Não,TRUE,São Paulo (SP),Mestrado,Economia/ Administração / Contabilidade / Finanças/ Negócios,de 3 a 4 anos,Python,"Databricks, Google BigQuery",Não sei opinar,Cientista de Dados/Data Scientist
39,Masculino,Branca,Não,TRUE,São Paulo (SP),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,Mais de 10 anos,Python,"SQL SERVER, Oracle, S3, SQLite, Amazon Athena, Hive",Azure (Microsoft),Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
26,Masculino,Branca,Não,TRUE,Rio de Janeiro (RJ),Mestrado,Ciências Sociais,,,,,
39,Masculino,Parda,Não,TRUE,Rio de Janeiro (RJ),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 4 a 6 anos,,,,
31,Masculino,Parda,Não,TRUE,Minas Gerais (MG),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 3 a 4 anos,Python,"S3, Amazon Redshift, Amazon Athena, MySQL, Amazon Aurora ou RDS",Amazon Web Services (AWS),Analytics Engineer
,Masculino,Preta,Não,TRUE,Minas Gerais (MG),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 1 a 2 anos,Python,Oracle,Amazon Web Services (AWS),Analista de Dados/Data Analyst
38,Masculino,Parda,Não,TRUE,Minas Gerais (MG),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 7 a 10 anos,Python,"Google BigQuery, SAP HANA",Azure (Microsoft),Analista de Dados/Data Analyst
48,Masculino,Parda,Não,TRUE,São Paulo (SP),Pós-graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 4 a 6 anos,,,,
28,Masculino,Branca,Não,TRUE,Rio Grande do Sul (RS),Estudante de Graduação,Computação / Engenharia de Software / Sistemas de Informação/ TI,de 1 a 2 anos,Python,"MySQL, Amazon Redshift, MariaDB, S3, Elaticsearch, SQLite",Não sei opinar,Engenheiro de Dados/Arquiteto de Dados/Data Engineer/Data Architect
